state,district,city_name,latitude,longitude,population,source
"Rajasthan","Bikaner","Bikaner","28.0229348","73.3119159","644406","Vynex Indian Cities Geodata"
"Uttar Pradesh","Noida","Noida","28.600032","77.351504","259160","Vynex Indian Cities Geodata"
"Jharkhand","East Singhbhum","Jamshedpur","22.8045665","86.2028754","1337131","Vynex Indian Cities Geodata"
"Chhattisgarh","","Bhilai Nagar","","","","Existing IRTMS India city catalog"
"Odisha","Cuttack","Cuttack","20.462521","85.8829895","658986","Vynex Indian Cities Geodata"
"Kerala","Ernakulam","Kochi","9.9312328","76.2673041","612343","Vynex Indian Cities Geodata"
"Rajasthan","Udaipur","Udaipur","24.595745","73.694395","474531","Vynex Indian Cities Geodata"
"Gujarat","Bhavnagar","Bhavnagar","21.768064","72.147388","593368","Vynex Indian Cities Geodata"
"Uttarakhand","Dehradun","Dehradun","30.3164945","78.0321918","714223","Vynex Indian Cities Geodata"
"West Bengal","Bardhaman","Asansol","23.6739452","86.9523954","1243008","Vynex Indian Cities Geodata"
"Maharashtra","","Nanded-Waghala","","","","Existing IRTMS India city catalog"
"Rajasthan","Ajmer","Ajmer","26.4498954","74.6399163","551101","Vynex Indian Cities Geodata"
"Gujarat","Jamnagar","Jamnagar","22.4707019","70.05773","479920","Vynex Indian Cities Geodata"
"Madhya Pradesh","Ujjain","Ujjain","23.1793013","75.7849097","515215","Vynex Indian Cities Geodata"
"Maharashtra","","Sangli","","","","Existing IRTMS India city catalog"
"Uttar Pradesh","","Loni","","","","Existing IRTMS India city catalog"
"Uttar Pradesh","Jhansi","Jhansi","25.4484257","78.5684594","549391","Vynex Indian Cities Geodata"
"Puducherry","","Pondicherry","","","","Existing IRTMS India city catalog"
"Andhra Pradesh","Nellore","Nellore","14.4425987","79.986456","499575","Vynex Indian Cities Geodata"
"Jammu and Kashmir","Jammu","Jammu","32.726601","74.857031","503690","Vynex Indian Cities Geodata"
"Karnataka","","Belagavi","","","","Existing IRTMS India city catalog"
"Odisha","","Raurkela","","","","Existing IRTMS India city catalog"
"Karnataka","","Mangaluru","","","","Existing IRTMS India city catalog"
"Tamil Nadu","Tirunelveli","Tirunelveli","8.7139126","77.7566523","498984","Vynex Indian Cities Geodata"
"Maharashtra","Malegaon","Malegaon","20.554554","74.525989","409618","Vynex Indian Cities Geodata"
"Bihar","Gaya","Gaya","24.7954523","84.999431","470839","Vynex Indian Cities Geodata"
"Tamil Nadu","","Tiruppur","","","","Existing IRTMS India city catalog"
"Karnataka","","Davanagere","","","","Existing IRTMS India city catalog"
"Kerala","","Kozhikode","","","","Existing IRTMS India city catalog"
"Maharashtra","Akola","Akola","20.7059345","77.0219019","427618","Vynex Indian Cities Geodata"
"Andhra Pradesh","Kurnool","Kurnool","15.8281257","78.0372792","424920","Vynex Indian Cities Geodata"
"Jharkhand","Bokaro","Bokaro Steel City","23.6692956","86.151112","563417","Vynex Indian Cities Geodata"
"Andhra Pradesh","","Rajahmundry","","","","Existing IRTMS India city catalog"
"Karnataka","","Ballari","","","","Existing IRTMS India city catalog"
"Tripura","West Tripura","Agartala","23.831457","91.2867777","522613","Vynex Indian Cities Geodata"
"Bihar","Bhagalpur","Bhagalpur","25.2414303","86.9924358","410210","Vynex Indian Cities Geodata"
"Maharashtra","Latur","Latur","18.4087934","76.5603828","410873","Vynex Indian Cities Geodata"
"Maharashtra","Dhule","Dhule","20.9042201","74.7748979","380000","Vynex Indian Cities Geodata"
"Chhattisgarh","Korba","Korba","22.3594501","82.7500595","363210","Vynex Indian Cities Geodata"
"Rajasthan","Bhilwara","Bhilwara","25.321377","74.586953","359483","Vynex Indian Cities Geodata"
"Odisha","","Brahmapur","","","","Existing IRTMS India city catalog"
"Karnataka","Mysuru","Mysore","12.2958104","76.6393805","887446","Vynex Indian Cities Geodata"
"Bihar","Muzaffarpur","Muzaffarpur","26.1208876","85.3647201","393724","Vynex Indian Cities Geodata"
"Maharashtra","Ahmednagar","Ahmednagar","19.0952075","74.7495916","350000","Vynex Indian Cities Geodata"
"Kerala","Kollam","Kollam","8.8932118","76.6141396","349033","Vynex Indian Cities Geodata"
"West Bengal","","Raghunathganj","","","","Existing IRTMS India city catalog"
"Chhattisgarh","Bilaspur","Bilaspur","22.0796251","82.1391412","330106","Vynex Indian Cities Geodata"
"Uttar Pradesh","Shahjahanpur","Shahjahanpur","27.883744","79.9122455","356103","Vynex Indian Cities Geodata"
"Kerala","Thrissur","Thrissur","10.5276416","76.2144349","325474","Vynex Indian Cities Geodata"
"Rajasthan","Alwar","Alwar","27.5529907","76.6345735","341422","Vynex Indian Cities Geodata"
"Andhra Pradesh","East","Kakinada","16.9890648","82.2474648","312255","Vynex Indian Cities Geodata"
"Telangana","Nizamabad","Nizamabad","18.673421","78.092593","311152","Vynex Indian Cities Geodata"
"Madhya Pradesh","Sagar","Sagar","23.838805","78.7378068","370296","Vynex Indian Cities Geodata"
"Karnataka","Tumakuru","Tumkur","13.345018","77.101945","305821","Vynex Indian Cities Geodata"
"Haryana","Hisar","Hisar","29.1491875","75.7216527","306893","Vynex Indian Cities Geodata"
"Haryana","Rohtak","Rohtak","28.8955152","76.606611","373133","Vynex Indian Cities Geodata"
"Haryana","Panipat","Panipat","29.3909464","76.9635023","442277","Vynex Indian Cities Geodata"
"Bihar","Darbhanga","Darbhanga","26.111868","85.896004","306089","Vynex Indian Cities Geodata"
"West Bengal","Paschim Medinipur","Kharagpur","22.34601","87.2319753","293719","Vynex Indian Cities Geodata"
"Mizoram","Aizwal","Aizawl","23.727107","92.7176389","293416","Vynex Indian Cities Geodata"
"Maharashtra","Kolhapur","Ichalkaranji","16.7090008","74.4560807","325499","Vynex Indian Cities Geodata"
"Andhra Pradesh","Chittoor","Tirupati","13.6287557","79.4191795","374260","Vynex Indian Cities Geodata"
"Haryana","Karnal","Karnal","29.6856929","76.9904825","303425","Vynex Indian Cities Geodata"
"Punjab","Bathinda","Bathinda","30.210994","74.9454745","285788","Vynex Indian Cities Geodata"
"Uttar Pradesh","Rampur","Rampur","28.7893041","79.0249516","359062","Vynex Indian Cities Geodata"
"Karnataka","","Shivamogga","","","","Existing IRTMS India city catalog"
"Madhya Pradesh","Ratlam","Ratlam","23.3341696","75.0376325","273892","Vynex Indian Cities Geodata"
"Uttar Pradesh","Ghaziabad","Modinagar","28.8316307","77.5779592","182811","Vynex Indian Cities Geodata"
"Chhattisgarh","Durg","Durg","21.1904494","81.2849169","894376","Vynex Indian Cities Geodata"
