state,district,city_or_town,latitude,longitude,population,source,location_type
"Andhra Pradesh","Srikakulam","Srikakulam","18.2969747","83.8967813","125939","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Srikalahasti","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Srisailam Project (Right Flank Colony) Township","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Sullurpeta","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","West","Tadepalligudem","16.8138415","81.521241","103906","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","Anantapur","Tadipatri","14.9070274","78.0092703","108171","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Tadpatri","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Tanuku","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","Guntur","Tenali","16.2395313","80.6493396","164937","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","Chittoor","Tirupati","13.6287557","79.4191795","374260","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Tiruvuru","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Tuni","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Uravakonda","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Venkatagiri","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","Krishna","Vijayawada","16.5061743","80.6480153","1048240","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Vinukonda","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","Visakhapatnam","Visakhapatnam","17.6868159","83.2184815","2035922","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","Vizianagaram","Vizianagaram","18.1066576","83.3955506","228025","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Yemmiganur","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Yerraguntla","","","","Existing IRTMS India city catalog","City/Town"
