state,district,city_or_town,latitude,longitude,population,source,location_type
"Madhya Pradesh","","Rehli","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","Rewa","Rewa","24.5372927","81.30418","235422","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","","Sabalgarh","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","Sagar","Sagar","23.838805","78.7378068","370296","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","","Sanawad","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Sarangpur","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Sarni","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","Satna","Satna","24.6005075","80.8322428","283004","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","","Sausar","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","Sehore","Sehore","23.205012","77.0850781","109025","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","","Sendhwa","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","Seoni","Seoni","22.0868691","79.5434841","102377","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","","Seoni-Malwa","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Shahdol","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Shajapur","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Shamgarh","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Sheopur","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","Shivpuri","Shivpuri","25.4357869","77.665066","179972","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","","Shujalpur","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Sidhi","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Sihora","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","Singrauli","Singrauli","24.200261","82.663989","220295","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","","Sironj","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Sohagpur","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Tarana","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Tikamgarh","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","Ujjain","Ujjain","23.1793013","75.7849097","515215","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","","Umaria","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","Vidisha","Vidisha","23.5251102","77.8081363","155959","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","","Vijaypur","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Wara Seoni","","","","Existing IRTMS India city catalog","City/Town"
