state,district,city_or_town,latitude,longitude,population,source,location_type
"Jammu and Kashmir","Anantnag","Anantnag","33.704949","75.247874","108505","Vynex Indian Cities Geodata","City/Town"
"Jammu and Kashmir","","Baramula","","","","Existing IRTMS India city catalog","City/Town"
"Jammu and Kashmir","Jammu","Jammu","32.726601","74.857031","503690","Vynex Indian Cities Geodata","City/Town"
"Jammu and Kashmir","","KathUrban Agglomeration","","","","Existing IRTMS India city catalog","City/Town"
"Jammu and Kashmir","","Punch","","","","Existing IRTMS India city catalog","City/Town"
"Jammu and Kashmir","","Rajauri","","","","Existing IRTMS India city catalog","City/Town"
"Jammu and Kashmir","","Sopore","","","","Existing IRTMS India city catalog","City/Town"
"Jammu and Kashmir","Srinagar","Srinagar","34.081413","74.807591","1192792","Vynex Indian Cities Geodata","City/Town"
"Jammu and Kashmir","","Udhampur","","","","Existing IRTMS India city catalog","City/Town"
