state,district,city_or_town,latitude,longitude,population,source,location_type
"Puducherry","Karaikal","Karaikal","10.9254398","79.8380056","86838","Vynex Indian Cities Geodata","City/Town"
"Puducherry","","Mahe","","","","Existing IRTMS India city catalog","City/Town"
"Puducherry","Puducherry","Ozhukarai","11.94888","79.712141","300104","Vynex Indian Cities Geodata","City/Town"
"Puducherry","","Pondicherry","","","","Existing IRTMS India city catalog","City/Town"
"Puducherry","Puducherry","Puducherry","11.9138598","79.8144722","654392","Vynex Indian Cities Geodata","City/Town"
"Puducherry","","Yanam","","","","Existing IRTMS India city catalog","City/Town"
