state,district,city_or_town,latitude,longitude,population,source,location_type
"Tripura","West Tripura","Agartala","23.831457","91.2867777","522613","Vynex Indian Cities Geodata","City/Town"
"Tripura","","Belonia","","","","Existing IRTMS India city catalog","City/Town"
"Tripura","","Dharmanagar","","","","Existing IRTMS India city catalog","City/Town"
"Tripura","","Kailasahar","","","","Existing IRTMS India city catalog","City/Town"
"Tripura","","Khowai","","","","Existing IRTMS India city catalog","City/Town"
"Tripura","","Pratapgarh","","","","Existing IRTMS India city catalog","City/Town"
"Tripura","","Udaipur","","","","Existing IRTMS India city catalog","City/Town"
